1,,プロローグ,旅人ニコラス,赤,人狼CO,旅:人狼CO ,.,.,,,,
2,,プロローグ,旅人ニコラス,赤,CO希望,旅:霊能者 ,.,.,,,,
3,,プロローグ,旅人ニコラス,赤,Over,,.,.,,,,
4,,1日目,行商人アルビン,灰,占い,商:兵:人間,.,.,,,,
5,1,1日目,パン屋オットー,白,CO ,屋:非占い師CO 屋:非霊能者CO ,.,.,,,,
6,2,1日目,負傷兵シモン,白,CO ,兵:非占い師CO 兵:非霊能者CO ,.,.,,,,
7,3,1日目,行商人アルビン,白,CO ,商:占い師CO 商:非霊能者CO ,.,.,,,,
8,4,1日目,旅人ニコラス,白,CO ,旅:占い師CO 旅:非占い師CO ,.,.,,,,
9,5,1日目,羊飼いカタリナ,白,CO ,羊:非占い師CO 羊:非霊能者CO ,.,.,,,,
10,6,1日目,木こりトーマス,白,CO ,樵:非占い師CO 樵:非霊能者CO ,.,.,,,,
11,7,1日目,司書クララ,白,CO ,書:非占い師CO 書:非霊能者CO ,.,.,,,,
12,8,1日目,老人モーリッツ,白,CO ,老:非占い師CO 老:非霊能者CO ,.,.,,,,
13,9,1日目,神父ジムゾン,白,CO ,神:非占い師CO 神:非霊能者CO ,.,.,,,,
14,10,1日目,負傷兵シモン,,Skip,,.,.,,,,
15,11,1日目,宿屋の女主人レジーナ,白,CO ,宿:非占い師CO 宿:非霊能者CO ,.,.,,,,
16,12,1日目,少年ペーター,白,CO ,年:非占い師CO 年:非霊能者CO ,.,.,,,,
17,13,1日目,青年ヨアヒム,白,CO ,青:霊能者CO 青:非占い師CO ,.,.,,,,
18,14,1日目,シスターフリーデル,白,CO ,修:非占い師CO 修:非霊能者CO ,.,.,,,,
19,15,1日目,神父ジムゾン,,Skip,,.,.,,,,
20,16,1日目,パン屋オットー,,Skip,,.,.,,,,
21,17,1日目,シスターフリーデル,,Skip,,.,.,,,,
22,18,1日目,羊飼いカタリナ,,Skip,,.,.,,,,
23,19,1日目,少年ペーター,,Skip,,.,.,,,,
24,20,1日目,老人モーリッツ,,Skip,,.,.,,,,
25,21,1日目,青年ヨアヒム,,Skip,,.,.,,,,
26,22,1日目,負傷兵シモン,白,希望 ,,吊り希望:神.,.,,,,
27,23,1日目,旅人ニコラス,白,占い結果 ,神:人間,.,.,,,,
28,24,1日目,宿屋の女主人レジーナ,,Skip,,.,.,,,,
29,25,1日目,司書クララ,,Skip,,.,.,,,,
30,26,1日目,神父ジムゾン,白,希望 ,,吊り希望:老.,.,,,,
31,27,1日目,負傷兵シモン,白,考察 ,神:非村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:人狼寄り 樵:非村人 樵:非霊能者 樵:人狼寄り 羊:非村人 羊:非霊能者 羊:人狼寄り 年:非村人 年:非霊能者 年:人狼寄り 神:村人寄り 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 書:非村人 書:非霊能者 書:人狼寄り 宿:非村人 宿:非霊能者 宿:人狼寄り 青:非村人 青:人狼寄り 屋:非村人 屋:非霊能者 屋:人狼寄り 商:非村人 商:非霊能者 商:人狼寄り 旅:非村人 旅:人狼寄り 老:非村人 老:非霊能者 老:人狼寄り 修:非村人 修:非霊能者 修:人狼寄り ,.,.,,,,
32,28,1日目,木こりトーマス,,Skip,,.,.,,,,
33,29,1日目,行商人アルビン,白,占い結果 ,兵:人間,.,.,,,,
34,30,1日目,神父ジムゾン,白,考察 ,兵:非村人 兵:非霊能者 兵:人狼寄り 樵:非村人 樵:非霊能者 樵:人狼寄り 羊:非村人 羊:非霊能者 羊:人狼寄り 年:非村人 年:非霊能者 年:人狼寄り 兵:村人寄り 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 書:非村人 書:非霊能者 書:人狼寄り 宿:非村人 宿:非霊能者 宿:人狼寄り 青:非村人 青:人狼寄り 屋:非村人 屋:非霊能者 屋:人狼寄り 商:非村人 商:人狼寄り 旅:非村人 旅:人狼寄り 老:非村人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:人狼寄り 修:非村人 修:非霊能者 修:人狼寄り ,.,.,,,,
35,31,1日目,羊飼いカタリナ,白,希望 ,,吊り希望:年.,.,,,,
36,32,1日目,旅人ニコラス,白,希望 ,,吊り希望:年.,.,,,,
37,33,1日目,行商人アルビン,白,希望 ,,吊り希望:年.,.,,,,
38,34,1日目,パン屋オットー,白,希望 ,,吊り希望:年.,.,,,,
39,35,1日目,神父ジムゾン,白,Over,,.,.,,,,
40,36,1日目,老人モーリッツ,白,希望 ,,吊り希望:年.,.,,,,
41,37,1日目,負傷兵シモン,白,Over,,.,.,,,,
42,38,1日目,青年ヨアヒム,白,希望 ,,吊り希望:年.,.,,,,
43,39,1日目,木こりトーマス,白,希望 ,,吊り希望:年.,.,,,,
44,40,1日目,宿屋の女主人レジーナ,白,希望 ,,吊り希望:年.,.,,,,
45,41,1日目,負傷兵シモン,白,Over,,.,.,,,,
46,42,1日目,シスターフリーデル,白,希望 ,,吊り希望:年.,.,,,,
47,43,1日目,神父ジムゾン,白,Over,,.,.,,,,
48,44,1日目,少年ペーター,白,希望 ,,吊り希望:宿.,.,,,,
49,45,1日目,司書クララ,白,希望 ,,吊り希望:年.,.,,,,
