1,,プロローグ,老人モーリッツ,赤,人狼CO,老:人狼CO ,.,.,,,,
2,,プロローグ,老人モーリッツ,赤,CO希望,:霊能者 ,.,.,,,,
3,,プロローグ,老人モーリッツ,赤,Over,,.,.,,,,
4,,プロローグ,老人モーリッツ,赤,Over,,.,.,,,,
5,,1日目,神父ジムゾン,灰,占い,神:樵:人間,.,.,,,,
6,1,1日目,負傷兵シモン,白,CO ,兵:非占い師CO 兵:非霊能者CO ,.,.,,,,
7,2,1日目,パン屋オットー,白,CO ,屋:非占い師CO 屋:非霊能者CO ,.,.,,,,
8,3,1日目,少年ペーター,白,CO ,年:非占い師CO 年:非霊能者CO ,.,.,,,,
9,4,1日目,負傷兵シモン,,Skip,,.,.,,,,
10,5,1日目,シスターフリーデル,白,CO ,修:非占い師CO 修:非霊能者CO ,.,.,,,,
11,6,1日目,老人モーリッツ,白,CO ,老:占い師CO 老:非占い師CO ,.,.,,,,
12,7,1日目,宿屋の女主人レジーナ,白,CO ,宿:占い師CO 宿:非霊能者CO ,.,.,,,,
13,8,1日目,羊飼いカタリナ,白,CO ,羊:非占い師CO 羊:非霊能者CO ,.,.,,,,
14,9,1日目,老人モーリッツ,白,占い結果 ,書:人間,.,.,,,,
15,10,1日目,パン屋オットー,,Skip,,.,.,,,,
16,11,1日目,行商人アルビン,白,CO ,商:非占い師CO 商:非霊能者CO ,.,.,,,,
17,12,1日目,司書クララ,白,CO ,書:非占い師CO 書:非霊能者CO ,.,.,,,,
18,13,1日目,神父ジムゾン,白,CO ,神:占い師CO 神:非霊能者CO ,.,.,,,,
19,14,1日目,木こりトーマス,白,CO ,樵:非占い師CO 樵:非霊能者CO ,.,.,,,,
20,15,1日目,旅人ニコラス,白,CO ,旅:非占い師CO 旅:非霊能者CO ,.,.,,,,
21,16,1日目,羊飼いカタリナ,,Skip,,.,.,,,,
22,17,1日目,司書クララ,,Skip,,.,.,,,,
23,18,1日目,木こりトーマス,,Skip,,.,.,,,,
24,19,1日目,負傷兵シモン,白,希望 ,,吊り希望:樵.,.,,,,
25,20,1日目,老人モーリッツ,白,希望 ,,吊り希望:樵.,.,,,,
26,21,1日目,行商人アルビン,,Skip,,.,.,,,,
27,22,1日目,パン屋オットー,白,希望 ,,吊り希望:樵.,.,,,,
28,23,1日目,負傷兵シモン,白,考察 ,屋:非村人 屋:非霊能者 屋:人狼寄り 樵:非村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:人狼寄り 羊:非村人 羊:非霊能者 羊:人狼寄り 年:非村人 年:非霊能者 年:人狼寄り 神:非村人 神:非霊能者 神:人狼寄り 書:非村人 書:非霊能者 書:人狼寄り 宿:非村人 宿:非霊能者 宿:人狼寄り 老:非村人 老:人狼寄り 屋:村人寄り 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 商:非村人 商:非霊能者 商:人狼寄り 旅:非村人 旅:非霊能者 旅:人狼寄り 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 修:非村人 修:非霊能者 修:人狼寄り ,.,.,,,,
29,24,1日目,神父ジムゾン,白,占い結果 ,樵:人間,.,.,,,,
30,25,1日目,パン屋オットー,白,考察 ,兵:非村人 兵:非霊能者 兵:人狼寄り 樵:非村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:人狼寄り 羊:非村人 羊:非霊能者 羊:人狼寄り 年:非村人 年:非霊能者 年:人狼寄り 兵:村人寄り 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 神:非村人 神:人狼寄り 書:非村人 書:非霊能者 書:人狼寄り 宿:非村人 宿:非霊能者 宿:人狼寄り 老:非村人 老:人狼寄り 商:非村人 商:非霊能者 商:人狼寄り 旅:非村人 旅:非霊能者 旅:人狼寄り 老:村人寄り 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 修:非村人 修:非霊能者 修:人狼寄り ,.,.,,,,
31,26,1日目,シスターフリーデル,,Skip,,.,.,,,,
32,27,1日目,旅人ニコラス,,Skip,,.,.,,,,
