1,,プロローグ,行商人アルビン,赤,人狼CO,商:人狼CO ,.,.,,,,
2,,プロローグ,行商人アルビン,赤,CO希望,商:霊能者 ,.,.,,,,
3,,プロローグ,行商人アルビン,赤,Over,,.,.,,,,
4,,プロローグ,行商人アルビン,赤,Over,,.,.,,,,
5,,1日目,神父ジムゾン,灰,占い,神:者:人間,.,.,,,,
6,1,1日目,旅人ニコラス,白,CO ,旅:非占い師CO 旅:非霊能者CO ,.,.,,,,
7,2,1日目,行商人アルビン,白,CO ,商:占い師CO 商:非占い師CO ,.,.,,,,
8,3,1日目,司書クララ,白,CO ,書:非占い師CO 書:非霊能者CO ,.,.,,,,
9,4,1日目,老人モーリッツ,白,CO ,老:非占い師CO 老:非霊能者CO ,.,.,,,,
10,5,1日目,ならず者ディーター,白,CO ,者:非占い師CO 者:非霊能者CO ,.,.,,,,
11,6,1日目,神父ジムゾン,白,CO ,神:占い師CO 神:非霊能者CO ,.,.,,,,
12,7,1日目,行商人アルビン,白,占い結果 ,青:人間,.,.,,,,
13,8,1日目,木こりトーマス,白,CO ,樵:非占い師CO 樵:非霊能者CO ,.,.,,,,
14,9,1日目,負傷兵シモン,白,CO ,兵:非占い師CO 兵:非霊能者CO ,.,.,,,,
15,10,1日目,青年ヨアヒム,白,CO ,青:非占い師CO 青:非霊能者CO ,.,.,,,,
16,11,1日目,シスターフリーデル,白,CO ,修:霊能者CO 修:非占い師CO ,.,.,,,,
17,12,1日目,少女リーザ,白,CO ,妙:非占い師CO 妙:非霊能者CO ,.,.,,,,
18,13,1日目,青年ヨアヒム,,Skip,,.,.,,,,
19,14,1日目,少年ペーター,白,CO ,年:非占い師CO 年:非霊能者CO ,.,.,,,,
20,15,1日目,少年ペーター,,Skip,,.,.,,,,
21,16,1日目,シスターフリーデル,,Skip,,.,.,,,,
22,17,1日目,青年ヨアヒム,白,希望 ,,吊り希望:妙.,.,,,,
23,18,1日目,負傷兵シモン,,Skip,,.,.,,,,
24,19,1日目,神父ジムゾン,白,占い結果 ,者:人間,.,.,,,,
25,20,1日目,行商人アルビン,白,希望 ,,吊り希望:妙.,.,,,,
