1,,プロローグ,行商人アルビン,赤,人狼CO,商:人狼CO ,.,.,,,,
2,,プロローグ,行商人アルビン,赤,CO希望,:霊能者 ,.,.,,,,
3,,プロローグ,行商人アルビン,赤,Over,,.,.,,,,
4,,1日目,パン屋オットー,灰,占い,屋:年:人間,.,.,,,,
5,1,1日目,司書クララ,白,CO ,書:非占い師CO 書:非霊能者CO ,.,.,,,,
6,2,1日目,青年ヨアヒム,白,CO ,青:非占い師CO 青:非霊能者CO ,.,.,,,,
7,3,1日目,シスターフリーデル,白,CO ,修:非占い師CO 修:非霊能者CO ,.,.,,,,
8,4,1日目,老人モーリッツ,白,CO ,老:非占い師CO 老:非霊能者CO ,.,.,,,,
9,5,1日目,少年ペーター,白,CO ,年:非占い師CO 年:非霊能者CO ,.,.,,,,
10,6,1日目,少年ペーター,,Skip,,.,.,,,,
11,7,1日目,行商人アルビン,白,CO ,商:霊能者CO 商:非占い師CO ,.,.,,,,
12,8,1日目,宿屋の女主人レジーナ,白,CO ,宿:非占い師CO 宿:非霊能者CO ,.,.,,,,
13,9,1日目,青年ヨアヒム,,Skip,,.,.,,,,
14,10,1日目,羊飼いカタリナ,白,CO ,羊:非占い師CO 羊:非霊能者CO ,.,.,,,,
15,11,1日目,パン屋オットー,白,CO ,屋:占い師CO 屋:非霊能者CO ,.,.,,,,
16,12,1日目,少年ペーター,白,希望 ,,吊り希望:屋.,.,,,,
17,13,1日目,神父ジムゾン,白,CO ,神:霊能者CO 神:非占い師CO ,.,.,,,,
18,14,1日目,負傷兵シモン,白,CO ,兵:非占い師CO 兵:非霊能者CO ,.,.,,,,
19,15,1日目,旅人ニコラス,白,CO ,旅:霊能者CO 旅:非占い師CO ,.,.,,,,
20,16,1日目,老人モーリッツ,,Skip,,.,.,,,,
21,17,1日目,神父ジムゾン,,Skip,,.,.,,,,
22,18,1日目,青年ヨアヒム,白,希望 ,,吊り希望:兵.,.,,,,
23,19,1日目,旅人ニコラス,,Skip,,.,.,,,,
24,20,1日目,青年ヨアヒム,白,考察 ,年:非占い師 年:非霊能者 年:非狩人 年:非狂人 年:非人狼 年:村人 年:非占い師 年:非霊能者 年:非狩人 年:非狂人 年:非人狼 羊:非占い師 羊:非霊能者 羊:非狩人 羊:非狂人 羊:非人狼 年:村人 年:非占い師 年:非霊能者 年:非狩人 年:非狂人 年:非人狼 兵:非村人 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:人狼 神:非村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 屋:非村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:非人狼 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 ,.,.,,,,
25,21,1日目,少年ペーター,白,考察 ,青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:非人狼 羊:非占い師 羊:非霊能者 羊:非狩人 羊:非狂人 羊:非人狼 兵:非村人 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 神:非村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 青:村人 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:非人狼 屋:非村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:人狼 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:非人狼 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 ,.,.,,,,
26,22,1日目,行商人アルビン,,Skip,,.,.,,,,
27,23,1日目,負傷兵シモン,,Skip,,.,.,,,,
28,24,1日目,シスターフリーデル,,Skip,,.,.,,,,
29,25,1日目,少年ペーター,白,Over,,.,.,,,,
30,26,1日目,羊飼いカタリナ,,Skip,,.,.,,,,
31,27,1日目,宿屋の女主人レジーナ,,Skip,,.,.,,,,
32,28,1日目,パン屋オットー,白,占い結果 ,年:人間,.,.,,,,
33,29,1日目,少年ペーター,白,Over,,.,.,,,,
34,30,1日目,司書クララ,,Skip,,.,.,,,,
35,31,1日目,青年ヨアヒム,白,Over,,.,.,,,,
36,32,1日目,羊飼いカタリナ,白,希望 ,,吊り希望:兵.,.,,,,
37,33,1日目,少年ペーター,白,Over,,.,.,,,,
