1,,プロローグ,老人モーリッツ,赤,人狼CO,老:人狼CO ,.,.,,,,
2,,プロローグ,老人モーリッツ,赤,CO希望,:占い師 ,.,.,,,,
3,,プロローグ,老人モーリッツ,赤,Over,,.,.,,,,
4,,1日目,パン屋オットー,灰,占い,屋:旅:人間,.,.,,,,
5,,1日目,パン屋オットー,灰,占い,屋:商:人間,.,.,,,,
6,1,1日目,行商人アルビン,白,CO ,商:非占い師CO 商:非霊能者CO ,.,.,,,,
7,2,1日目,木こりトーマス,白,CO ,樵:非占い師CO 樵:非霊能者CO ,.,.,,,,
8,3,1日目,旅人ニコラス,白,CO ,旅:非占い師CO 旅:非霊能者CO ,.,.,,,,
9,4,1日目,神父ジムゾン,白,CO ,神:非占い師CO 神:非霊能者CO ,.,.,,,,
10,5,1日目,負傷兵シモン,白,CO ,兵:非占い師CO 兵:非霊能者CO ,.,.,,,,
11,6,1日目,司書クララ,白,CO ,書:非占い師CO 書:非霊能者CO ,.,.,,,,
12,7,1日目,老人モーリッツ,白,CO ,老:霊能者CO 老:非占い師CO ,.,.,,,,
13,8,1日目,宿屋の女主人レジーナ,白,CO ,宿:非占い師CO 宿:非霊能者CO ,.,.,,,,
14,9,1日目,シスターフリーデル,白,CO ,修:非占い師CO 修:非霊能者CO ,.,.,,,,
15,10,1日目,青年ヨアヒム,白,CO ,青:非占い師CO 青:非霊能者CO ,.,.,,,,
16,11,1日目,シスターフリーデル,,Skip,,.,.,,,,
17,12,1日目,木こりトーマス,,Skip,,.,.,,,,
18,13,1日目,木こりトーマス,白,希望 ,,吊り希望:青.,.,,,,
19,14,1日目,パン屋オットー,白,CO ,屋:占い師CO 屋:非霊能者CO ,.,.,,,,
20,15,1日目,パン屋オットー,白,占い結果 ,商:人間,.,.,,,,
21,16,1日目,木こりトーマス,白,考察 ,屋:非村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 修:非村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 兵:非村人 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:非人狼 神:非村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:非人狼 書:非村人 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:非村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 青:非村人 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 商:非村人 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:非人狼 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 旅:非人狼 老:非村人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 ,.,.,,,,
22,17,1日目,神父ジムゾン,,Skip,,.,.,,,,
23,18,1日目,シスターフリーデル,白,希望 ,,吊り希望:青.,.,,,,
24,19,1日目,シスターフリーデル,白,考察 ,樵:村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:人狼寄り 樵:村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 樵:村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 屋:非村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:人狼 兵:村人 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:人狼寄り 神:村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:人狼寄り 書:村人 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:人狼寄り 宿:非村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:人狼 青:非村人 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:人狼 屋:村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 商:村人 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:人狼寄り 旅:村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 旅:人狼寄り 老:村人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:人狼寄り ,.,.,,,,
25,20,1日目,パン屋オットー,白,希望 ,,吊り希望:修.,.,,,,
26,21,1日目,パン屋オットー,白,考察 ,樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 樵:村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 樵:村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 修:非村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:人狼 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:非人狼 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:非人狼 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:非村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 青:非村人 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:非人狼 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 旅:非人狼 老:非村人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 修:村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 ,.,.,,,,
27,22,1日目,司書クララ,,Skip,,.,.,,,,
28,23,1日目,木こりトーマス,白,Over,,.,.,,,,
29,24,1日目,旅人ニコラス,,Skip,,.,.,,,,
30,25,1日目,木こりトーマス,白,Over,,.,.,,,,
31,26,1日目,宿屋の女主人レジーナ,,Skip,,.,.,,,,
32,27,1日目,青年ヨアヒム,,Skip,,.,.,,,,
33,28,1日目,負傷兵シモン,,Skip,,.,.,,,,
34,29,1日目,行商人アルビン,,Skip,,.,.,,,,
35,30,1日目,老人モーリッツ,,Skip,,.,.,,,,
36,31,1日目,青年ヨアヒム,白,希望 ,,吊り希望:屋.,.,,,,
37,32,1日目,負傷兵シモン,白,希望 ,,吊り希望:屋.,.,,,,
38,33,1日目,行商人アルビン,白,希望 ,,吊り希望:屋.,.,,,,
39,34,1日目,シスターフリーデル,白,Over,,.,.,,,,
40,35,1日目,パン屋オットー,白,Over,,.,.,,,,
41,36,1日目,旅人ニコラス,白,希望 ,,吊り希望:青.,.,,,,
42,37,1日目,司書クララ,白,希望 ,,吊り希望:青.,.,,,,
43,38,1日目,神父ジムゾン,白,希望 ,,吊り希望:屋.,.,,,,
44,39,1日目,パン屋オットー,白,Over,,.,.,,,,
45,40,1日目,木こりトーマス,白,Over,,.,.,,,,
46,41,1日目,シスターフリーデル,白,Over,,.,.,,,,
47,42,1日目,宿屋の女主人レジーナ,白,希望 ,,吊り希望:屋.,.,,,,
48,43,1日目,老人モーリッツ,白,希望 ,,吊り希望:青.,.,,,,
49,44,1日目,司書クララ,白,考察 ,樵:非占い師 樵:人狼 樵:村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 屋:非村人 屋:人狼 修:非占い師 修:人狼 兵:非占い師 兵:人狼 神:非占い師 神:人狼 宿:非占い師 宿:人狼 青:非村人 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:人狼 屋:村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 商:非占い師 旅:非占い師 旅:人狼 老:非占い師 修:村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 ,.,.,,,,
50,45,1日目,負傷兵シモン,白,考察 ,樵:非村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 屋:非村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 修:非村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 神:非村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:非人狼 書:非村人 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:非村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 青:非村人 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 青:非人狼 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 商:非村人 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:非人狼 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 旅:非人狼 老:非村人 老:非占い師 老:非霊能者 老:非狩人 老:非狂人 老:非人狼 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 ,.,.,,,,
51,46,1日目,老人モーリッツ,白,考察 ,樵:非村人 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 樵:非占い師 樵:非霊能者 樵:非狩人 樵:非狂人 樵:非人狼 屋:非村人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 修:非村人 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 兵:非村人 兵:非占い師 兵:非霊能者 兵:非狩人 兵:非狂人 兵:非人狼 神:非村人 神:非占い師 神:非霊能者 神:非狩人 神:非狂人 神:非人狼 書:非村人 書:非占い師 書:非霊能者 書:非狩人 書:非狂人 書:非人狼 宿:非村人 宿:非占い師 宿:非霊能者 宿:非狩人 宿:非狂人 宿:非人狼 青:非村人 青:非占い師 青:非霊能者 青:非狩人 青:非狂人 屋:非占い師 屋:非霊能者 屋:非狩人 屋:非狂人 屋:非人狼 商:非村人 商:非占い師 商:非霊能者 商:非狩人 商:非狂人 商:非人狼 旅:非村人 旅:非占い師 旅:非霊能者 旅:非狩人 旅:非狂人 旅:非人狼 修:非占い師 修:非霊能者 修:非狩人 修:非狂人 修:非人狼 ,.,.,,,,
